user_id,exp_purch_T,exp_aov,p_alive,clv_T_bgnbd,clv_T_ml,clv_T_blend,actual_clv_T
8,0.005219914671280006,24.611337490260468,0.10737078819087734,0.12846908164523427,0.0579253002803958,0.06497967841687965,0.0
15,0.00843983621722394,21.50983951494376,1.0,0.18153952256489697,0.6357515121629934,0.5903303132031839,0.0
16,0.008230028968806296,21.50983951494376,1.0,0.1770266023223615,0.304659307629594,0.29189603709887074,0.0
19,0.009758463249486583,21.50983951494376,1.0,0.209902978408933,0.08148628993544756,0.09432795878279611,0.0
23,0.0060867773722896035,21.50983951494376,1.0,0.13092560444114046,0.14359076215774483,0.1423242463860844,0.0
25,0.005650572615803387,21.50983951494376,1.0,0.12154291013346682,0.24645985770407214,0.23396816294701162,0.0
26,0.005666687355792763,21.50983951494376,1.0,0.12188953560446335,0.17080991931601403,0.16591788094485896,0.0
48,0.003794658694749816,21.50983951494376,1.0,0.0816224995380545,0.07216553534367867,0.07311123176311625,0.0
50,0.0065916121806817475,21.50983951494376,1.0,0.14178452015121287,0.15751780276082122,0.15594447449986037,0.0
68,0.006762115875739265,21.50983951494376,1.0,0.14545202726860496,0.1439302555765854,0.14408243274578736,0.0
70,0.00534361786369077,21.50983951494376,1.0,0.11494036267717508,0.06698760337218802,0.07178287930268673,0.0
76,0.0056377466813134,21.50983951494376,1.0,0.12126702634095801,0.27210365535728614,0.2570199924556533,0.0
130,0.007304076026055264,21.50983951494376,1.0,0.15710950312539693,0.3444838419188984,0.3257464080395483,0.0
131,0.005317876296487453,21.50983951494376,1.0,0.11438666569776859,0.13268847693255625,0.13085829580907749,0.0
150,0.008223214993374884,21.50983951494376,1.0,0.17688003480437306,0.04499636545817279,0.058184732392792815,0.0
155,0.005192801871883768,21.50983951494376,1.0,0.11169633489711939,0.1404226570989444,0.1375500248787619,0.0
157,0.005778754042489552,21.50983951494376,1.0,0.12430007205028276,0.033643776823455734,0.042709406346138436,0.0
165,0.004694708252485677,21.50983951494376,1.0,0.10098242108044898,0.3974543217831594,0.36780713171288837,0.0
193,0.004759931848212194,21.50983951494376,1.0,0.10238537015711394,0.17324069897952296,0.16615516609728206,0.0
196,0.005531033181153846,21.50983951494376,1.0,0.11897163607844807,0.10922678042069485,0.11020126598647018,0.0
198,0.0036523874510066235,21.50983951494376,1.0,0.07856226791754699,0.08035248578486721,0.08017346399813519,20.0
200,0.0045093405226034914,21.50983951494376,1.0,0.09699519095943372,0.1538157703564483,0.14813371241674686,0.0
210,0.009914356075176071,21.50983951494376,1.0,0.21325620807104498,0.10245484468542904,0.11353498102399064,0.0
236,0.008043411618978619,21.50983951494376,1.0,0.17301249307686406,0.3806186870952919,0.35985806769344914,0.0
245,0.004309832353120543,21.50983951494376,1.0,0.0927038022519353,0.1087242402381021,0.10712219643948541,0.0
262,0.004624781246176624,21.50983951494376,1.0,0.09947830239698079,0.06630582718459951,0.06962307470583765,0.0
264,0.00999418686346073,21.50983951494376,1.0,0.21497335551539945,0.03094518903548138,0.04934800568347319,0.0
279,0.005500411615231929,21.50983951494376,1.0,0.11831297110977138,0.1479785179892046,0.1450119633012613,0.0
289,0.004174044564240028,21.50983951494376,1.0,0.08978302870502636,0.09728397935298098,0.09653388428818552,0.0
